Output,RG,RF,RZ,RP,RYM,RZM,CG,CF,CZ,CP,CYM,CZM
12.1791457143,0.2681565197,0.0606066218,1437.2030919,114.396158854,-1025.55444336,0.0669965313,0.214302963,0.1148021058,1432.77945095,159.4981639,-1025.55444336,0.0669965313
12.2151028571,0.2648463093,0.07392705,1489.34798327,109.118231412,-1024.94958496,0.3706904924,0.214815854,0.1130069873,1491.5883044,154.393482606,-1024.94958496,0.3706904924
12.2577814286,0.269609711,0.0582986122,1489.42698212,108.215332031,-1022.85339355,-0.8778417971,0.2140465175,0.1137763238,1489.42698212,155.02068263,-1022.85339355,-0.8778417971
12.1996928571,0.2717351968,0.0554904796,1462.40017592,114.053694928,-1021.64880371,-0.7470177646,0.2142268817,0.1133351007,1457.87540165,160.285255306,-1021.64880371,-0.7470177646
12.1588928571,0.254992317,0.078728771,1448.43910202,97.7742513021,-1015.73046875,-0.9539551108,0.2071417911,0.1157313761,1437.45539988,139.098471523,-1015.73046875,-0.9539551108
12.1713714286,0.2618141717,0.0648229693,1462.7651521,115.198354252,-1022.57299805,-0.5726040084,0.2122931225,0.1140077125,1461.88852716,163.556996892,-1022.57299805,-0.5726040084
12.16305,0.2724407535,0.0660673174,1497.15913588,108.584646451,-1019.1986084,-0.5669577481,0.2156664684,0.1121633797,1495.55900764,155.032066476,-1019.1986084,-0.5669577481
12.1237642857,0.2772087185,0.0621524722,1478.67540307,106.217723782,-1022.50976562,-0.3869092172,0.2168570743,0.1113775199,1472.02166493,151.233720724,-1022.50976562,-0.3869092172
12.0750714286,0.2698661565,0.0582986122,1404.20342807,110.286458333,-1032.15930176,0.9913260312,0.2168674181,0.1113828324,1404.20342807,157.17865611,-1032.15930176,0.9913260312
12.0425457143,0.2703289374,0.0691518577,1452.41243967,106.609476024,-1031.28735352,-0.091258137,0.2159271179,0.1123231326,1448.31643256,151.780464843,-1031.28735352,-0.091258137
11.9463171429,0.2689606729,0.0574242387,1474.05271968,112.48479124,-1027.59008789,-0.3056077743,0.2142927416,0.1126596862,1462.97603369,157.938143837,-1027.59008789,-0.3056077743
11.8642457143,0.2672162195,0.0606921036,1536.67112625,108.19905599,-1022.73620605,-0.6019588821,0.2155851906,0.1123231326,1531.40957839,153.518256239,-1022.73620605,-0.6019588821
11.8681957143,0.2772175944,0.0529132565,1366.40257426,104.085286458,-1023.82946777,-0.3007526597,0.2192609095,0.1101860867,1366.40257426,149.558846801,-1023.82946777,-0.3007526597
11.8993957143,0.2757099851,0.063400917,1449.77479791,104.563745959,-1033.0032959,0.1069210182,0.2171135076,0.1107791755,1456.84318217,149.748832527,-1033.0032959,0.1069210182
11.8896242857,0.275849885,0.0523148837,1398.28137727,107.246907552,-1031.63354492,0.6330978715,0.2177222365,0.1106134959,1392.14758821,154.928210018,-1031.63354492,0.6330978715
11.8649171429,0.2796832271,0.0466708564,1430.5886216,102.229817708,-1026.14599609,-0.2174435896,0.2191649738,0.1078729317,1417.82416386,145.904382476,-1026.14599609,-0.2174435896
11.8633085714,0.2700665483,0.0562498508,1499.34395654,106.437307889,-1026.64282227,-0.5813908783,0.2153301464,0.1115748162,1496.9011735,150.554221557,-1026.64282227,-0.5813908783
11.8499657143,0.2745866489,0.0636722664,1390.37855091,108.958277209,-1030.70898438,0.5241277516,0.2171342196,0.1096784267,1388.17231102,157.678922094,-1030.70898438,0.5241277516
11.8551371429,0.2704645293,0.0559051208,1445.69654065,109.529622396,-1027.99987793,0.8001514611,0.2159271179,0.1104425322,1443.7365553,156.027190423,-1027.99987793,0.8001514611
11.8838985714,0.2761787727,0.0613730606,1419.31567546,110.492253708,-1028.00158691,0.0776150665,0.2173803091,0.1091603047,1419.32395623,154.099245603,-1028.00158691,0.0776150665
11.7337014286,0.2759976848,0.072801476,1491.78797481,102.864583333,-1022.9440918,0.7795635039,0.2161915724,0.1101559548,1473.75154511,147.169018434,-1022.9440918,0.7795635039
11.5862942857,0.2765112445,0.0731544555,1490.632117,107.601768092,-1020.93322754,-0.3363672134,0.2163391123,0.1101454478,1489.60232141,154.471069522,-1020.93322754,-0.3363672134
